Item,Amount,Bought?,Cost (CAD),Total Cost,Notes,Link
,,,,,,
Bluepill Microcontroller,2,n,5.65,11.3,,WeAct STM32F103C8T6 STM32F103CBT6 STM32F103 STM32F1 Bluepill Plus ARM STM32 Minimum System Development Board Module - AliExpress
usb c to a cables,2,n,2.86,5.72,,Essager 3A USB Type C Cable USB A To Type C Fast Charging Cables For iPone 15 Samsung Xiaomi Mobile Phone Data Charger Wire Cord - AliExpress
toggle switches,6,n,4.10,24.6,,"aliexpress.com/item/1005001315963290.html?spm=a2g0o.productlist.main.10.61f31eb8mzm82w&algo_pvid=2b49715a-6654-4f8a-a94e-a923ba25dc24&algo_exp_id=2b49715a-6654-4f8a-a94e-a923ba25dc24-9&pdp_ext_f=%7B""order""%3A""195""%2C""eval""%3A""1""%7D&pdp_npi=4%40dis%21CAD%214.10%211.38%21%21%212.94%210.99%21%402103244b17513454276657540e065d%2112000036410343341%21sea%21CA%210%21ABX&curPageLogUid=BnM7aFyfrVXd&utparam-url=scene%3Asearch%7Cquery_from%3A"
potentiometers (7mm thread),5,n,2.53,12.65,cheapest option,10PCS RK097 precision potentiometer vertical single link shank length 15mm gearless 3-pin B2K B5K B10K B20K B50K B100K B500K B1M - AliExpress
rotary encoders (7mm thread),6,n,4.83,28.98,looking for alternatives,"5/10Sets EC11 360 Degree Rotary Encoder Code Switch Digital Potentiometer 5 Pins Handle Length 20mm with Push Button,Knob Cap - AliExpress 502"
large momentary switch,1,n,6.63,6.63,,"aliexpress.com/item/4001169879232.html?spm=a2g0o.productlist.main.1.23fdLvQCLvQCRK&algo_pvid=6f283221-de15-417a-9911-344e72dfff53&algo_exp_id=6f283221-de15-417a-9911-344e72dfff53-0&pdp_ext_f=%7B""order""%3A""358""%2C""eval""%3A""1""%7D&pdp_npi=4%40dis%21CAD%216.68%215.57%21%21%214.76%213.97%21%402103205217508267992468400e6bad%2110000015016525249%21sea%21CA%210%21ABX&curPageLogUid=WL6grQlmlbEs&utparam-url=scene%3Asearch%7Cquery_from%3A#nav-description"
large latching switch ,1,n,6.76,6.76,,"aliexpress.com/item/4001169879232.html?spm=a2g0o.productlist.main.1.23fdLvQCLvQCRK&algo_pvid=6f283221-de15-417a-9911-344e72dfff53&algo_exp_id=6f283221-de15-417a-9911-344e72dfff53-0&pdp_ext_f=%7B""order""%3A""358""%2C""eval""%3A""1""%7D&pdp_npi=4%40dis%21CAD%216.68%215.57%21%21%214.76%213.97%21%402103205217508267992468400e6bad%2110000015016525249%21sea%21CA%210%21ABX&curPageLogUid=WL6grQlmlbEs&utparam-url=scene%3Asearch%7Cquery_from%3A#nav-description"
mini joysticks,3,n,2.17,6.51,kinda small but should work,1 pcs FJR06k-S Mini Joystick Potentiometer with switch B10K VR Bluetooth gaming joystick DJI RS2 joystick replaces FJ06K-S - AliExpress 502
large rgb metal button,2,n,1.92,3.84,,"10mm 12mm 16mm 19mm 22mm Panel Hole Metal Button Switch Power Push Button Flat/High Head Momentary/Locking Soldering NO/NC - AliExpress 13 or 
https://www.aliexpress.com/item/1005006477375437.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.2.5ae7AsGHAsGHzR&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=a1d56878-6ed5-4f85-ba31-70a74d10eca0&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:a1d56878-6ed5-4f85-ba31-70a74d10eca0,tpp_buckets:668%232846%238114%231999&pdp_ext_f=%7B%22order%22%3A%222272%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%7D&pdp_npi=4%40dis%21CAD%212.51%211.38%21%21%211.80%210.99%21%40210330dd17513450485355833e133a%2112000037343711701%21rec%21CA%21%21ABX&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A"
